date,time,start,Annotation start (sec),annotation,sablefish
09/30/2019,12:00:00,12:00:13,40,12:00:53,
09/30/2019,13:00:00,13:00:06,47,13:00:53,
09/30/2019,14:00:00,14:00:19,31,14:00:50,
09/30/2019,15:00:00,15:00:02,52,15:00:54,
09/30/2019,16:00:00,16:00:15,37,16:00:52,
09/30/2019,17:00:00,17:00:13,40,17:00:53,
09/30/2019,18:00:00,18:00:26,28,18:00:54,
09/30/2019,19:00:00,19:00:10,43,19:00:53,
09/30/2019,20:00:00,20:00:04,51,20:00:55,
09/30/2019,21:00:00,21:00:03,52,21:00:55,
09/30/2019,22:00:00,22:00:17,35,22:00:52,
09/30/2019,23:00:00,23:00:04,52,23:00:56,
10/01/2019,0:00:00,0:00:14,39,0:00:53,
10/01/2019,1:00:00,1:00:02,51,1:00:53,
10/01/2019,2:00:00,2:00:17,39,2:00:56,
10/01/2019,3:00:00,3:00:01,56,3:00:57,
10/01/2019,4:00:00,4:00:11,43,4:00:54,
10/01/2019,5:00:00,5:00:14,40,5:00:54,
10/01/2019,6:00:00,6:00:02,50,6:00:52,
10/01/2019,7:00:00,7:00:11,43,7:00:54,
10/01/2019,8:00:00,8:00:22,31,8:00:53,
10/01/2019,9:00:00,9:00:13,36,9:00:49,
10/01/2019,10:00:00,10:00:05,50,10:00:55,
10/01/2019,11:00:00,11:00:12,42,11:00:54,
10/01/2019,12:00:00,12:00:21,32,12:00:53,
10/01/2019,13:00:00,13:00:19,35,13:00:54,
10/01/2019,14:00:00,14:00:01,52,14:00:53,
10/01/2019,15:00:00,15:00:11,44,15:00:55,
10/01/2019,16:00:00,16:00:21,29,16:00:50,
10/01/2019,17:00:00,17:00:18,36,17:00:54,
10/01/2019,18:00:00,18:00:13,41,18:00:54,
10/01/2019,19:00:00,19:00:21,33,19:00:54,
10/01/2019,20:00:00,20:00:16,37,20:00:53,
10/01/2019,21:00:00,21:00:09,45,21:00:54,
10/01/2019,22:00:00,22:00:17,37,22:00:54,
